pair_id	style	prompt_far	prompt_close	negative_prompt
focus_00000	an oil painting of	centered owl face, bold silhouette	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00001	an oil painting of	centered owl face, bold silhouette	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00002	an oil painting of	centered owl face, bold silhouette	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00003	an oil painting of	centered owl face, bold silhouette	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00004	an oil painting of	centered owl face, bold silhouette	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00005	an oil painting of	centered owl face, bold silhouette	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00006	an oil painting of	centered owl face, bold silhouette	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00007	an oil painting of	centered owl face, bold silhouette	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00008	an oil painting of	centered owl face, bold silhouette	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00009	an oil painting of	centered owl face, bold silhouette	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00010	an oil painting of	centered owl face, bold silhouette	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00011	an oil painting of	centered owl face, bold silhouette	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00012	an oil painting of	centered owl face, bold silhouette	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00013	an oil painting of	centered owl face, bold silhouette	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00014	an oil painting of	centered owl face, bold silhouette	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00015	an oil painting of	centered owl face, bold silhouette	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00016	an oil painting of	centered owl face, bold silhouette	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00017	an oil painting of	centered owl face, bold silhouette	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00018	an oil painting of	centered owl face, bold silhouette	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00019	an oil painting of	centered owl face, bold silhouette	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00020	an oil painting of	centered owl face, bold silhouette	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00021	an oil painting of	centered owl face, bold silhouette	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00022	an oil painting of	centered owl face, bold silhouette	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00023	an oil painting of	centered owl face, bold silhouette	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00024	an oil painting of	centered owl face, bold silhouette	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00025	an oil painting of	iconic rabbit silhouette, large simple shapes	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
